Comment,Description,Designator,Footprint,LibRef,Quantity

"1uF","Capacitor","C1, C3, C11, C13, C14, C15","CAPC3216X180N","C3216X7R1H105K160AE","6"
"100pF","Capacitor","C2","CAPC1005X56N","04025A101JAT2A","1"
"1uF","Capacitor","C4","CAPC1608X90N","CGA1A2X7R1H471K030BA","1"
"0.05 uF","Capacitor","C5","CAPC3216X94N","12065C503JAT2A","1"
"0.1 uF","Capacitor","C6, C7, C8, C9","CAPC1005X55N","CL05A104KA5NNNC","4"
"10uF","Capacitor Polarised","C10, C12","CAPPM3216X180N","TAJA106K010RNJV","2"
"SS1P3L-M3_84A","Schottky Diode","D1, D2, D3","SS1P3LM384A","SS1P3L-M3_84A","3"
"MF-MSMF050-2","Fuse","F1","FUSC4632X85N","MF-MSMF050-2","1"
"TC1185-3.3VCT713","Integrated Circuit","IC1","SOT95P270X145-5N","TC1185-3.3VCT713","1"
"AD8609ARZ-REEL7","Integrated Circuit","IC2","SOIC127P600X175-14N","AD8609ARZ-REEL7","1"
"AD627BRZ-R7","Integrated Circuit","IC3","SOIC127P600X175-8N","AD627BRZ-R7","1"
"REG1117-5","Integrated Circuit","IC4","SOT230P700X180-4N","REG1117-5","1"
"2189890300","Connector","J1","2189890300","2189890300","1"
"Micro_USB_B","Connector","J2","47346-0001","47346-0001","1"
"Green_LED","LED","LED_PWR1","LEDC1608X55N","LTST-C191KGKT","1"
"470kR","Resistor","R1, R7, R10","RESC1005X40N","RC0402JR-0710KL","3"
"10kR","Resistor","R2, R6, R8","RESC1005X40N","RC0402JR-0710KL","3"
"26kR","Resistor","R4, R5","RESC1005X40N","RC0402FR-0726K1L","2"
"160kR","Resistor","R9","RESC1005X40N","RC0402FR-07160KL","1"
"13K","Resistor","R11","RESC1005X40N","RC0402FR-0713KL","1"
"1kR","Resistor","R12","RESC0603X26N","RC0201FR-071KL","1"
"2998","Undefined or Miscellaneous","U1","2998","2998","1"
"NINA-B306","u-blox NINA-B306 Bluetooth 5 LE, 802.15.4 module","U2","NINA_LGA71R_1500X1000X223_PCB","NINA-B306","1"
